Year,m,d,Time,Cloud amount (1/8),Pressure (msl) (hPa),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Dew-point temperature (degC),Horizontal visibility (m),Wind direction (deg),Gust speed (m/s),Wind speed (m/s),area
2017,1,9,14,8.0,1015.1,96.0,0.0,14.0,0.3,-0.3,27750.0,227.0,8.2,5.4,1
2017,1,9,15,8.0,1014.8,97.0,0.0,14.0,0.6,0.2,12670.0,226.0,6.4,4.7,1
2017,1,9,16,8.0,1014.1,98.0,0.0,14.0,0.7,0.5,7990.0,219.0,6.6,5.1,1
2017,1,9,17,8.0,1013.7,98.0,0.0,14.0,1.0,0.8,4720.0,220.0,9.9,5.8,1
2017,1,9,18,8.0,1013.6,98.0,0.0,14.0,1.3,1.1,7680.0,228.0,8.4,6.3,1
2017,1,9,19,8.0,1013.4,97.0,0.0,14.0,1.4,0.9,6590.0,219.0,10.1,6.6,1
2017,1,9,20,8.0,1012.9,96.0,0.0,13.0,1.5,0.9,7340.0,222.0,9.5,7.3,1
2017,1,9,21,8.0,1012.5,96.0,0.0,13.0,1.4,0.9,8410.0,225.0,10.8,7.8,1
2017,1,9,22,8.0,1012.3,94.0,0.0,13.0,1.3,0.5,18540.0,227.0,13.8,9.4,1
2017,1,9,23,8.0,1012.1,96.0,0.0,13.0,1.3,0.7,11750.0,238.0,9.4,7.0,1
2017,1,10,0,8.0,1012.0,95.0,0.0,13.0,1.5,0.7,50000.0,232.0,8.6,6.2,1
2017,1,10,1,8.0,1012.0,97.0,0.0,13.0,1.6,1.3,11050.0,224.0,9.6,6.9,1
2017,1,10,2,8.0,1011.7,98.0,0.0,12.0,1.6,1.4,2590.0,222.0,7.7,5.7,1
2017,1,10,3,8.0,1011.5,98.0,0.0,12.0,1.6,1.4,2670.0,222.0,6.5,5.0,1
2017,1,10,4,8.0,1011.6,99.0,0.0,12.0,1.8,1.6,3380.0,222.0,6.1,4.6,1
2017,1,10,5,8.0,1011.7,99.0,0.0,12.0,2.0,1.9,2570.0,228.0,7.6,5.1,1
2017,1,10,6,8.0,1011.8,99.0,0.0,12.0,2.4,2.2,24630.0,228.0,8.0,5.5,1
2017,1,10,7,8.0,1012.3,96.0,0.0,12.0,2.4,1.9,38880.0,230.0,8.2,6.0,1
2017,1,10,8,8.0,1012.7,95.0,0.0,12.0,2.4,1.7,50000.0,240.0,9.9,6.6,1
